season,date,name,level,surface,indoor,drawType,drawSize,playerCount,participation,strength,averageEloRating,speed,winner_name,winner_seed,winner_country_name,winner_country_id,runnerUp_name,runnerUp_seed,runnerUp_country_name,runnerUp_country_id,score,titleDifficulty,titleAvgRank,titleAvgEloRating,runnerUp_entry,outcome
2021,2021-11-01,Paris Masters,M,H,true,KO,56,56,0.8051595383570944,2064,2061,70,Novak Djokovic,1,Serbia,SRB,Daniil Medvedev,2,Russian Federation,RUS,4-6 6-3 6-3,0.9393697505210381,12.009248561777694,2082,,
2020,2020-11-02,Paris Masters,M,H,true,KO,64,56,0.6578411405295316,1994,2041,81,Daniil Medvedev,3,Russian Federation,RUS,Alexander Zverev,4,Germany,GER,5-7 6-4 6-1,1.0248028044665953,18.72602445237422,2111,,
2019,2019-10-28,Paris Masters,M,H,true,KO,64,48,0.82899366643209,2089,2088,89,Novak Djokovic,1,Serbia,SRB,Denis Shapovalov,,Canada,CAN,6-3 6-4,0.819825695620106,32.89202158854824,1985,,
2018,2018-10-29,Paris Masters,M,H,true,KO,64,48,0.7994370161857847,2080,2085,75,Karen Khachanov,,Russian Federation,RUS,Novak Djokovic,2,Serbia,SRB,7-5 6-4,1.1383801068280157,9.923068821475196,2098,,
2017,2017-10-30,Paris Masters,M,H,true,KO,64,48,0.7086558761435608,2005,2064,70,Jack Sock,16,United States,USA,Filip Krajinovic,,Serbia,SRB,5-7 6-4 6-1,0.7037368352760163,46.79238555270073,1956,Q,
2016,2016-10-31,Paris Masters,M,H,true,KO,64,48,0.8184377199155525,2208,2122,77,Andy Murray,2,United Kingdom,GBR,John Isner,,United States,USA,6-3 6-7(4) 6-4,0.8696583133857714,21.952844472222132,2068,,
2015,2015-11-02,Paris Masters,M,H,true,KO,48,48,0.9225897255453905,2311,2151,71,Novak Djokovic,1,Serbia,SRB,Andy Murray,2,United Kingdom,GBR,6-2 6-4,1.1547042002693295,8.151931096059227,2181,,
2014,2014-10-27,Paris Masters,M,H,true,KO,48,48,0.8585503166783955,2182,2114,71,Novak Djokovic,1,Serbia,SRB,Milos Raonic,7,Canada,CAN,6-2 6-3,1.137084995304795,12.306192738595904,2183,,
2013,2013-10-28,Paris Masters,M,H,true,KO,48,48,0.8909218859957776,2265,2138,72,Novak Djokovic,2,Serbia,SRB,David Ferrer,3,Spain,ESP,7-5 7-5,1.1086103027870948,13.421122976641733,2116,,
2012,2012-10-29,Paris Masters,M,H,true,KO,48,48,0.8346235045742435,2184,2115,69,David Ferrer,4,Spain,ESP,Jerzy Janowicz,,Poland,POL,6-4 6-3,0.9169633665206447,29.886739132103763,2035,Q,
2011,2011-11-07,Paris Masters,M,H,true,KO,48,48,0.8430682617874736,2195,2118,60,Roger Federer,3,Switzerland,SUI,Jo Wilfried Tsonga,6,France,FRA,6-1 7-6(3),0.9928175192833745,20.045789848388473,2065,,
